"","id","lang","previous"
"91","s2103","eng","yes"
"92","s2122","nor","Ikke deltatt i lignende tidligere, men har heller ikke vært i et studiemiljø tidligere. "
"93","s2142","nor","Ikke noe lignende studie "
"94","s2145","nor","Nei, det har jeg ikke"
"95","s2147","nor","Ja, husker ikke nøyaktig detaljer, men den var så å si identisk til denne, man skulle lese en lang historie, og hovedpoenget var at personene i historien hadde fått presentert falsk informasjon, og så skulle man definere hva som var ""egentlig rett"" eller noe lignende "
"96","s2150","nor","Nei."
"97","s2152","nor","Nei."
"98","s2154","nor","En studie om hvordan språk påvirker vår forståelse av nyheter. Relatert til ""Fake news""."
"99","s2155","nor","Har deltatt i ulike undersøkelse; spørreskjemaer og intervjuer i forbindelse med den videregående skolen jeg gikk på (Foss videregående i Oslo) "
"100","s2156","nor","Ikke i det siste, jeg har deltatt i spørreskjemaer og evaluering av arbeid, men ikke forskning på denne måten. "
"101","s2161","nor","Ikke helt liknende, men deltatt i en studie som omhandlet ""mot"". Noe som skulle måle motet til en personen i forskejllige situasjoner. "
"102","s2167","eng","I don't think so"
"103","s2170","eng","I have participated in ones that I answered questions, but nothing similar to this type of study "
"104","s2173","eng","No. All the studies have been fairly different "
"105","s2178","eng","No, but similar formatting "
"106","s2184","eng","No, I don't think any studies I have participated in were similar to this one."
"107","s2187","eng","No, I have not. At least I do not remember. "
"108","s2189","eng","I have participated in a study where I read scenarios from a court case and gave my opinion."
"109","s2193","eng","I have participated in a somewhat similar study, but I am sure I can not talk about it."
"110","s2194","eng","No, I have never participated in a study like this one."
"111","s2195","eng","yes"
"112","s2227","zho","TESt"
"113","s2246","nor","Nei. "
"114","s2255","nor","Nei
"
"115","s2268","nor","Ja, engelsk setningsoppbygging. Man skulle svare på hvor ord i setninger skulle komme o.l. "
"116","s2291","zho","j"
"117","s2301","nor","Nei."
"118","s2310","nor","Deltatt i forskning, men ikke slik som denne"
"119","s2311","nor","Ikke på denne måten, men jeg har bidratt i andre studier. "
"120","s2312","nor","Nei, deltatt i en forskningstudie, men ikke som denne."
"121","s2316","nor","Jeg har deltatt på andre spørreundersøkelser, men ikke en som hadde slike scenarioer. "
"122","s2327","eng","No, never."
"123","s2368","nor","Nei."
"124","s2369","nor","Nei ingen studier om språk så langt gitt"
"125","s2370","nor","Tror ikke det. Men scenariet (""tankeeksperimentet"") med landeveien hørtes kjent ut fra tidligere."
"126","s2377","nor","Ja, kanskje"
"127","s2379","eng","I participated in a study that was set up to be a mock trial. In this study, I had to listen to a fake courtroom session and give a decision as a jury member.  After I had made my decision, I was asked questions regarding how my emotions led my decision making process versus the role of logic."
"128","s2380","eng","No, I have not  "
"129","s2381","eng","Yes, I have. The other ones were more complex, but were scenario based."
"130","s2395","nor","nei "
"131","s2404","nor","Nei. "
"132","s2412","nor","Nei. "
"133","s2415","nor","Nei. "
"134","s2448","nor","Nei. "
"135","s2466","eng","no I haven't "
"136","s2469","eng","No, I haven't participated in a similar study. "
"137","s2470","eng","not really no."
"138","s2472","eng","Yes i did some online surveys "
"139","s2547","nor","Nei. "
"140","s2568","eng","yes, the study involves watching pictures and then describing them later."
"141","s2604","fre","dwq"
"142","s2608","eng","n/a"
"143","s2614","eng","Word Puzzles"
"144","s2615","eng","Yes, interpreting others emotions during the transition to college. "
"145","s2617","eng","no i have not participated in a similar study"
"146","s2620","eng","I have somewhat participated in a similar study. however, in the other study i had to write an essay about a given senario / story.  "
"147","s2621","eng","No i have not."
"148","s2629","eng","I have not. This was I think one of the first, if not the first study I have done. So this is a relatively new experience for me. But for the most part I really enjoyed this study."
"149","s2631","eng","No i have not "
"150","s2635","eng","No, none of the studies I have participated in were similar to this."
"151","s2636","eng","Yes and you should stop forcing people to take these studies."
"152","s2641","eng","I think so. The one when you watch the video of a girl who is a Fairfield U student who actually wasn't."
"153","s2642","eng","no i have not "
"154","s2648","eng","No I have not "
"155","s2649","eng","Yes, once. It was a study on relationships"
"156","s2651","eng","no, this was different then any of the other ones i have participated in."
"157","s2652","eng","I do not believe so."
"158","s2658","eng","Yes, I participated in an online study that involves reading and answering questions. "
"159","s2660","eng","No, I don't think that I have"
"160","s2666","eng","Yes I have participated in a similar study."
"161","s2671","eng","No, this was a unique study for me."
"162","s2675","eng","i have not"
"163","s2699","eng","Not really.  I once watched a video and answered questions about it, but that's it."
"164","s2700","eng","not really just other studies done here at Fairfield University where you have to judge things"
"165","s2721","eng","No, I haven't. There was one study where they could be similar but this one is better and interesting. "
"166","s2723","eng","I did an online study that kind of put me in the same spot, knowing both sides of the stories in order to come to a decision. However, it never asked me to think from that person's point of view. Instead, I was the person making the decisions. "
"167","s2729","eng","No I have not participated in a similar study. "
"168","s2730","eng","no i have not "
"169","s2758","eng","No, but I really enjoyed participating in a new kind of study unlike any one I had done before. "
"170","s2766","eng","yes"
"171","s2840","eng","I have participated in many studies at Fairfield so far, some similar in terms of materials but none too similar to the content."
"172","s2847","eng","No I haven't participated in a study like this one."
"173","s2849","eng","I have not participated in a similar study before."
"174","s2852","eng","No, I have not participated in a study of a similar format"
"175","s2853","eng","n/a"
"176","s2858","eng","No, I haven't."
"177","s2864","eng","maybe some similar psych studies"
"178","s2867","eng","n/a"
"179","s2872","eng","I have not participated in a study similar to this before."
"180","s2882","eng","Yes, I have done a few of the research for PLU."
"181","s2887","eng","Yes, Perceptions of Individuals. "
"182","s2890","eng","I have not participated in studies that have a sliding bar"
"183","s2896","eng","No ma’am "
"184","s2913","eng","not really"
"185","s2915","eng","I have not participated in a study quite like this before."
"186","s2916","eng","yes, I had to read a passage and answer questions"
"187","s2918","eng","I never benn a part of a study like this "
"188","s2920","eng","I don't think so "
"189","s2922","eng","No I haven't."
"190","s2937","eng","No all studies have been different"
"191","s2939","eng","no, I have not"
"192","s2942","eng","I have participated in a similar study where the researcher was looking at how word choices in a description about a student were very deliberate in order to influence the interpretations the participants made. Different participants were given the same students and similar descriptions for them, just with different word choices."
"193","s2947","eng","yes, except that study was based off on mind wondering/ attention span"
"194","s2973","eng","No, I have not participated in a similar study."
"195","s2983","eng","empty"
"196","s2991","nor","Nei."
"197","s2992","eng","no I have not"
"198","s2993","eng","No, this is the first one. "
"199","s2995","eng","No I have not "
"200","s2999","eng","yes"
"201","s3006","eng","No, the other studies were very different from this one."
"202","s3022","zho","D"
"203","s3023","zho","E"
"204","s3024","zho","V"
"205","s3025","zho","F"
"206","s3026","zho","F"
"207","s3027","eng","no not a reading comprehension study or a study that asked about my feelings"
"208","s3028","eng","not one quite like it"
"209","s3036","eng","Not really"
"210","s3040","eng","I don't think I have."
"211","s3042","eng","Not sure, I have taken many studies but do not recall"
"212","s3044","eng","I don't think I have."
"213","s3046","eng","No. I have not participated in a study such as this. "
"214","s3056","eng","Only in studies with similar data collection methods (i.e., surveys). The sliders were new."
"215","s3068","eng","No I never have participated in a similar study."
"216","s3078","eng","I have not, but I have participated in a study where there are different scenarios."
"217","s3080","eng","No I have not participated in a similar study but this topic somewhat co-insides with the subject of one of my other classes. "
"218","s3100","eng","NOPE! ;)"
"219","s3113","eng","Never"
"220","s3135","eng","Yes, It was about fallacies."
"221","s3156","eng","This is my first study I have participated in."
"222","s3161","eng","I have done an online study but not in this format. "
"223","s3166","eng","I have not be a part of. a study like this."
"224","s3167","eng","yes"
"225","s3171","eng","I have not. This is the first study I have participated in that used a bar that I could drag to determine how sure I was of my answer. "
"226","s3201","eng","Yes, I have had to take this one 3 times because it is not showing that I completed it. "
"227","s3204","eng","n/a"
"228","s3209","eng","I have never participated in this type of study before."
"229","s3211","eng","yes, if was based on mind wondering and how we could handle difficult tasks "
"230","s3212","eng","yes, we had to read a passage and answer questions"
"231","s3215","eng","i have not"
"232","s3218","eng","I have participated in other studies, but nothing very similar to this"
"233","s3221","eng","I participated in a word puzzle study a few months ago."
"234","s3231","eng","no
"
"235","s3233","eng","Negative"
"236","s3234","eng","Yes. I have done a few studies where I was asked questions based on different wordings of readings."
"237","s3241","eng","No I haven't"
"238","s3243","eng","yes , but it didn't contain any reading it was all a automated story."
"239","s3244","eng","No, I have participated in a few studies similar to this one but this study was different in certain ways."
"240","s3245","eng","Yes and no, I have done online studies similar to this but no the same tasks. "
"241","s3246","eng","I took a reading test in a study not too long ago, however it would ask me things such as what words go in here, and just comprehension questions."
"242","s3255","eng","Nope!"
"243","s3257","eng","While I've participated in multiple studies before, this is the first one where I was expected to read and answer comprehension questions. "
"244","s3263","eng","I have not participated in a study like this."
"245","s3268","eng","No I have not participated in a similar study."
"246","s3272","eng","no.
"
"247","s3313","eng","Yes, I participated in studies like this one."
"248","s3317","eng","I never participated in a similar study like this. "
"249","s3327","eng","no not really "
"250","s3382","pol","nie wiem"
"251","s3391","pol","Wydaje mi się, że tak - niestety nie jestem w stanie go przytoczyć."
"252","s3402","eng","Cannot recall. "
"253","s3407","eng","I have done other research studies"
"254","s3431","pol","Chyba nie"
"255","s3433","pol","Nigdy"
"256","s3438","pol","Nigdy"
"257","s3439","pol","nie "
"258","s3515","ger","Nein, habe ich nicht."
"259","s3523","ger","Nein, habe ich nicht"
"260","s3524","ger","Nein, an so einer Studie habe ich noch nihct teilgenommen."
"261","s3527","ger","Nein, ich habe noch nie zuvor an irgendeiner Studie teilgenommen."
"262","s3531","ger","Nicht wirklich, nein"
"263","s3540","tur","Çeşitli psikolojik ölçek çalışmalarına katıldım fakat içerik olarak buna benzeyen bir çalışmaya katıldığımı düşünmüyorum."
"264","s3543","tur","katılmadım"
"265","s3560","tur","evet"
"266","s3571","ger","/"
"267","s3592","ger","Ja, ich habe bereits an einer ähnlichen Studie teilgenommen. Dort musste man entscheiden, ob gezeigte personen lügen oder die Wahrheit sagen."
"268","s3594","ger","Ich haeb des öfteren an psychologischen Studien teilgenommen, bei denen es u.a. auch um Textverständnis ging."
"269","s3595","ger","Ja, es ging um Wörter und deren Zusammensetzung"
"270","s3603","ger","Ich habe an Psycholgiestudien teilgenommen, aber nicht an einer, die mit Sprache zu tun hat."
"271","s3611","eng","I have participated in a few studies before, but non of them had similar questions I believe -however the scaling system of  answers e.g. strongly believe, believe, neutral, disagree, strongly disagree. have been used in some of them."
"272","s3633","ger","Ja einige Umfragen für Bachelorarbeiten auf den verschiedensten Themengebieten"
"273","s3634","ger","Ja vor einem Jahr mit ähnlichen oder sogar identischen Texten."
"274","s3635","ger","Ja. text lesen, Fragen beantworten - fast identisch"
"275","s3637","ger","Ja, ich war im Empra bei Sophia"
"276","s3654","eng","yes , on pappers but i don't remmber the deatails"
"277","s3663","tur","evet, buna benzer deneysel bir ankete katıldım. onun amacı da hafızayı test etmekti."
"278","s3664","tur","Hayır katılmadım"
"279","s3665","tur","evet"
"280","s3667","pol","Ocena sytuacji kryminalnych"
"281","s3668","pol","Nie uczestniczyłam "
"282","s3672","pol","nie."
"283","s3673","pol","nie pamiętam, chyba nie, "
"284","s3696","tur","Evet."
"285","s3704","hun","Logopédiát tanulok, így az egyetemen már beszélgettünk párszor a nyelv és a gondolkodás összefüggéseiről."
"286","s3709","pol","Tak, odpowiadalem na pytania na bazie tekstu do ktorego nie moglem wrocic."
"287","s3712","tur","Yine aynı ders kapsamında düşünce yapısının incelenmesine yönelik bir çalışma"
"288","s3721","ger","Wenn ja kann ich mich nicht erinnern."
"289","s3732","ger","nein."
"290","s3756","ger","Nein noch nicht"
"291","s3759","ger","Ich glaube, dass ich schon einmal an der gleichen Studie teilgenommen habe."
"292","s3766","ger","Nein, an keiner ähnlichen Studie."
"293","s3767","ger","Nein habe ich nicht"
"294","s3769","ger","Ja, habe ich, ich weiß allerdings nicht mehr, ob es sich um die gleichen Texte gehandelt hat - zumindest musste ich auch Entscheidungen zwischen ""wissen"" und ""glauben zu wissen"" treffen."
"295","s3772","ger","Ich glaube nicht."
"296","s3773","ger","Nein, habe ich nicht."
"297","s3779","ger","Ja"
"298","s3783","ger","Ich habe im Laufe des Studiums (5 Semester) schon an einem Dutzend psychologischer Studien teilgenommen, die inhaltlich teilwiese ähnlich Waren.
Die Form war immer dieselbe.
"
"299","s3785","ger","Nein habe ich nicht "
"300","s3799","ger","Nein, dass war das erste Mal."
"301","s3809","ger","Nein, noch nicht zu dem Thema Sprache"
"302","s3813","ger","nö"
"303","s3822","ger","Ich erinnere mich nicht"
"304","s3823","ger","nur studien wo man was lesen musst und anschließend dinge ankreuzen sollte aber keine grammatikalischen fragen"
"305","s3844","pol","Nie uczestniczyłem"
"306","s3849","tur","Evet detaylarını hatırlamıyorum "
"307","s3870","hun","Emlékezetem szerint nem. "
"308","s3873","hun","Nem, hasonló kísérletben még nem vettem részt."
"309","s3875","hun","Ilyesmiben még nem vettem részt."
"310","s3888","ger","Ja, exakt die gleiche"
"311","s3893","pol","Często biorę udział w badaniach prowadzonych w Waszym Instytucie, trudno mi spamiętać wszystkie, ale na pewno było coś w pewnym stopniu podobnego"
"312","s3894","ger","Ich habe bereits an einer Studie zum Thema Autismus an einem Institut/der Uni Marburg teilgenommen, erinnere mich aber nicht mehr daran da dies sehr lange her ist."
"313","s3897","ger","Ich habe bisher an noch keiner ähnlichen Studie teilgenommen."
"314","s3898","ger","Ja, die vorherigeStudie war eigentlich genauso aufgebaut, nur länger und mit mehr Szenarien und ich glaube auch mit mehr Fragen zu mir selber am Ende/ Anfang.. (ist schon länger her) "
"315","s3917","ger","An einer psychologischen Studie, Thema kann ich mich leider nich erinnern"
"316","s3922","ger","Es ging um Sprachen, wo man Aliens Namen vergeben sollte."
"317","s3935","ger","Ich habe an einer Studie teilgenommen, bei der ich Texte inhaltlich wiedergeben musste. Dabei ging es auch um das Leseverständnis"
"318","s3936","ger","Ja, die Studie war allerdings ein wenig langwieriger, was es schwieriger gemacht hat, bis zum Ende durchzuhalten/ sich zu konzentrieren."
"319","s3937","ger","...:)"
"320","s3944","pol","Nie uczestniczyłam w podobnym badaniu"
"321","s3963","ger","nein bisher noch nicht"
"322","s3969","ger","Die Sprachstudie nebenan, in der man Wortlaute untersucht hat, aber nicht weiter auf einen Kontext eingegangen ist. Beim ersten Mal wurden einem ausgedachte Wörter zur Bewertung von 1-10 ausgehändigt, beim zweiten Mal musste man sich Wörter ausdenken, die finnisch klingen, nachdem man einen finnischen Text gehört hat (man hat Bilder bekommen, zu denen man sich die Wörter ausdenken sollte)"
"323","s3970","ger","Nein, keiner der Studien an denen ich bisher teilgenommen habe ähnelt dieser."
"324","s3973","ger","Ja ich habe an einigen Studien teilgenommen. Zum Biespiel musste ich mir mal Texte über 2 Wochen merken und da wurden mir dann Fragen zu gestellt und am Ende habe ich pro richtige Frage 50 ct bekommen. "
"325","s3975","tur","hayır."
"326","s3982","tur","hayir"
"327","s3989","tur","Evet okuldaki bir araştırmaya katılmıştım. "
"328","s3991","tur","hayır."
"329","s3993","tur","Katılmadım."
"330","s4009","tur","Project Assistant Belemir Çoktok belemir.coktok@st.uskudar.edu.tr , bu kişinin çalışmasına benziyor"
"331","s4020","pol","Nie przypominam sobie, uczestniczyłam w badaniach z obrazkami, ale w innym laboratorium i dotyczyły one języka obcego."
"332","s4030","tur","hayır katılmadım."
"333","s4035","tur","Hayır katılmadım"
"334","s4088","zho","沒有。"
"335","s4098","zho","沒有耶"
"336","s4121","tur","Hayır katılmadım."
"337","s4140","zho","有，針對一種行為、不同場所的合理性及到道德性進行評斷；隨後閱讀短篇故事，並且針對故事中人物的心情進行模擬。"
"338","s4142","zho","無
"
"339","s4144","tur","hayır."
"340","s4152","tur","hayır "
"341","s4172","tur","hayır katılmadım."
"342","s4173","tur","hayır "
"343","s4179","tur","Evet"
"344","s4191","zho","看一段影片，判斷內容的真實性"
"345","s4194","zho","類似閱讀文章並作答的研究，那個研究中途會插入自製廣告模擬網站的彈出式廣告，並進行問題回答"
"346","s4203","zho","有，參加過行為實驗，以問卷作答"
"347","s4206","zho","沒有。"
"348","s4222","ger","Ja, dabeiging es um das Verstehen, Merken und nach kurzer Zeit um die Wiedergabe von Wörtern "
"349","s4263","zho","之前有參與過其他心理學研究"
"350","s4266","ger","Psychologische Studie zur Entschlossenheit und Durchhaltevermögen."
"351","s4279","ger","Es ging um fiktive Worte, ich sollte bestimmen was sie für mich bedeuten."
"352","s4280","ger","Nein, habe ich nicht."
"353","s4283","zho","有，有趣"
"354","s4327","ger","ich habe schon einmal genau an der gleichen Studie teilgenommen"
"355","s4333","ger","Ja, ich musste schon einmal über ähnliche Situationen Einschätzungen abgeben. Allerdings weiß ich nicht mehr worum es in der Studie genau ging, weshalb ich auch hier den Zweck nicht erraten kann."
"356","s4336","ger","."
"357","s4341","ger","ja
bisschen international zwischen LA und Emden"
"358","s4342","ger","Nein, das ist die erste Studie, an der ich teilgenommen habe. "
"359","s4350","ger","Ja"
"360","s4351","ger","Ja, ich erinnere mich noch an den Diamanttext, der war aber in der anderen Studie anders als hier. Ich erinnere mich auch nicht, was der Zweck der früheren Studie war."
"361","s4364","ger","Ja, wie bereits beschrieben war eigentlich genau das gefordert was hier auch gefordert war. Aber ich hab von da an bis jetzt nicht herausgefunden worum es geht und bin immer noch irritiert."
"362","s4369","ger","Ich habe einmal an einer Studie teilgenommen, bei welcher verschiedene Filme mit emotionalen Themen gezeigt wurden (z.B. Tod) und danach musste man sich viele Wörter merken und diese wiedergeben."
"363","s4373","ger","Nein. "
"364","s4393","zho","該研究給受試者閱讀報導後，詢問有關報導的問題，問題許多相似但不完全相同"
"365","s4395","zho","有
是一個藉由手上負重重量來實驗重量對人的信心的影響"
"366","s4409","tur","Evet. Yükseklisans tezi için arkadaşlarımın hazırladığı anketleri dolduruyorum."
"367","s4415","eng","no, i have not"
"368","s4423","eng","yes, it called mbti and it studies the personalities but its more comprehensive"
"369","s4477","zho","沒有喔！"
"370","s4490","tur","Katılmadım. "
"371","s4507","ger","Nein habe ich nicht."
"372","s4523","ger","Nein nicht an einer ähnlichen, aber an vielen anderen."
"373","s4526","tur","hayır katılmadım."
"374","s4529","ger","Nein bis jetzt waren es keine mit einer textanalyse, ehr videos bewerten oder Berechnungen"
"375","s4530","ger","Ja habe ich. Gefühlt war es fast die gleiche Studie obwohl ich das mit den reglern nicht kannte"
"376","s4532","ger","."
"377","s4534","ger","Bisher nicht."
"378","s4542","tur","Psikoloji öğrencilerinin yürüttüğü araştırmalar kapsamında anketlere katıldım."
"379","s4548","tur","evet psikoloji öğrencilerin araştırmalarını yaptığı anketlere katıldım. örneğin derse katılımın ders başarısı üzerindeki etkileri anketine katılmıştım. bilişsel süreçleri inceleyen bir ankate katılmıştım."
"380","s4550","tur","Evet, katıldım."
"381","s4564","zho","沒有，所以覺得挺酷的XD"
"382","s4569","ger","Nein, es war das erste Mal. "
"383","s4570","ger","Noch keine Studie zum Leseverständnis."
"384","s4572","ger","Ich habe noch nie an einer Studie teilgenommen."
"385","s4573","ger","Nein, ich habe an keiner ähnlichen Studie teilgenommen"
"386","s4574","ger","Nein, so in der Art noch nicht."
"387","s4581","ger","Ich habe noch nie an einer Studie teilgenommen."
"388","s4583","ger","/"
"389","s4584","ger","nein;)"
"390","s4613","tur","Evet. Üniversitemde online yürütülen bir araştırmaya daha katıldım. Araştırmanın amacı hakkında bilgi sahibi değilim. "
"391","s4662","tur","Hayır , Katılmadım."
"392","s4673","tur","hatırlamıyorum."
"393","s4679","zho","TEST delete data "
"394","s4683","eng","TEST delete data "
"395","s4685","ger","TEST delete data "
"396","s4692","fre","TEST delete data"
"397","s4707","ger","Bisher nicht."
"398","s4716","zho","吳"
"399","s4737","ger","ja"
"400","s4741","ger","Nein das ist meine erste Studie"
"401","s4749","ger","Nein. "
"402","s4751","ger","Merkfähigkeit, "
"403","s4779","pol","Nie "
"404","s4782","pol","nie, to był pierwszy raz"
"405","s4786","tur","Hayır. "
"406","s4795","eng"," - "
"407","s4798","zho","無。"
"408","s4808","zho","無。參與過一些心理學研究，但看完一段故事後回答問題倒是第一次。"
"409","s4811","zho","好像有，但沒有印象測驗內容"
"410","s4818","tur","hayir."
"411","s4825","pol","Nie uczestniczyłam"
"412","s4826","pol","Nie przypominam sobie."
"413","s4830","pol","uczestniczyłem, ale nie pamiętam już o co w nim konkretnie chodziło. Trzeba było oglądać jakieś filmy i zapamiętywać co na nich było."
"414","s4831","pol","Nie uczestniczyłem"
"415","s4832","pol","Nigdy wcześniej nie uczestniczyłem w podobnym badaniu"
"416","s4845","tur","Daha önce benzer bir çalışmaya katılmadım."
"417","s4866","tur","Evet. Asil hocanın bir çalışmasıydı. Bilgisayardan sorular,anket ve resimler verilmişti. Ve bunları cevaplamamız istenmişti."
"418","s4894","tur","Daha önce böyle bir çalışmaya katılmamıştım."
"419","s4961","zho","有，為大眾對競選海報之研究"
"420","s5562","zho","有。聽幾則故事，回答腳色在過程中的想法。"
"421","s5760","zho","無。"
"422","s5930","zho","沒印象"
"423","s6016","tur","hayır katılmadım"
"424","s6079","zho","沒"
"425","s6116","tur","hayır."
"426","s6355","eng","yes , but it was not tidy and good as this study "
"427","s6361","zho","心理系的一些問卷，跟情緒字詞有關的研究
或者是消費產品的問卷，一樣會出現邏輯題來詢問"
"428","s6373","tur","HAYIR"
"429","s6457","tur","Bilinçlice HAYIR..."
"430","s6466","tur","İlk çalışmam. İkinci bir çalışma için bir daha zaman ayırma konusunda emin değilim."
"431","s6516","tur","HAYIR"
"432","s6519","tur","HAYIR"
"433","s6526","tur","Katılmadım."
"434","s6574","tur","Katılmadım"
"435","s6584","eng","I have never."
"436","s6624","tur","hayır."
"437","s6655","tur","Evet. Eğitim aldığım kurumlarda yapılan bilimsel çalışmalara katıldım. En son  Üsküdar üniversitesinde Deniz Ülke Hanımın yaptığı “ Büyükşehir seçimlerinin iptali ve seçmen tutumu” konulu bir araştırmaya katıldım."
"438","s6694","pol","owszem, było bardzo podobne jeżeli nie takie same."
"439","s6700","zho","留白"
"440","s6732","zho","沒有類似的經驗。"
"441","s6754","pol","tak"
"442","s6765","pol","nie "
"443","s6852","eng","Never participated in a study before."
"444","s6872","eng","I have participated in other online studies, but never one dealing with perceptions of truthhood."
"445","s6877","eng","I have not. "
"446","s6881","tur","evet ismini hatırlamıyorum"
"447","s6893","pol","Nie przypominam sobie"
"448","s6902","pol","Nie przypominam sobie."
"449","s6947","tur","hayır."
"450","s7006","nor","Ikke deltatt i lignende studier tidligere."
"451","s7014","nor","Vet jo ikke hva studien handler om, så vanskelig å si. "
"452","s7019","pol","nie, nigdy"
"453","s7031","eng","No, I have not participated in a similar study."
"454","s7036","tur","hayır."
"455","s7066","eng","None. "
"456","s7093","tur","HYYR"
"457","s7094","tur","hayır."
"458","s7099","tur","Okuduğunu anlamaya dair bir araştırma değildi ama görselliğin zihnimizde ayırt edilip edilmediğine dair bir çalışmaya katılmıştım. "
"459","s7114","eng","DO NOT USE IN RESULTS. TEST RUN "
"460","s7134","pol","Nigdy nie uczestniczyłam w podobnym badaniu"
"461","s7141","nor","Aldri deltatt i en studie som ligner denne. Det var noe helt nytt."
"462","s7151","pol","Chyba nie :)  podobało mi się to doświadczenie."
"463","s7155","pol","Tak, nie pamiętam"
"464","s7183","tur","Hayır, katılmadım."
"465","s7202","eng","Yes, but I do not remember it very well - it involved reading passages and answering similar questions to the ones in this study. "
"466","s7291","eng","I have not participated in a study like this before. "
"467","s7308","nor","fdkfjgfjg"
"468","s7331","nor","nei."
"469","s7357","nor","Et annet psykologistudie som så på sammenhengen mellom nysgjerrighet og sinnslidelser. "
"470","s7366","eng","z"
"471","s7370","nor","Har ikke svart på lignende spørsmål tidligere"
"472","s7401","eng","I have not participated in a study like this before."
"473","s7418","nor","Nei."
"474","s7434","eng","I have not ever participated in a similar study. "
"475","s7447","nor","Nei, ikke som jeg kan gjenkalle."
"476","s7458","nor","Nei. "
