"","id","lang","purpose"
"178","s1478","eng","to see if the participant can recognize given information and guage whether the scenario's right or wrong."
"179","s1479","eng","Perception."
"180","s1484","eng","I think the purpose of this study is to show that not everything you see is as it seems. "
"181","s1489","eng","Paying attention to the study and how the answers correlate to our feelings about the study."
"182","s1490","eng","i think how we interpret certain things."
"183","s1495","eng","paying attention "
"184","s1502","eng","information about language"
"185","s1509","eng","personal perceptions"
"186","s1510","eng","To study thinking and reasoning"
"187","s1518","eng","to see if the participant has a different view on {Category:} with different knowledge standards to see if that can affect their intuition about something that looks similar to what they are looking at or studying. "
"188","s1519","eng","I am not sure what this study was about. Maybe to study how effective our thinking is when it comes to analyzing something we just read. "
"189","s1521","eng","Opinion/ memory on certain readings "
"190","s1535","eng","To understand the way humans process decision making."
"191","s1537","eng","Maybe how self-aware one is and how much responsibility one takes for their thought processes?  I don't know lol"
"192","s1548","eng","To study the memories of those that are participating."
"193","s1663","eng","to determine perception of knowlegde and luck"
"194","s1695","eng","N/a"
"195","s1696","eng","To get information."
"196","s1722","pol","xdc"
"197","s1738","ger","Vielleicht Leseverständnis und Logik zu messen."
"198","s1739","ger","Der Versuch, eine bestimmte Sichtweise auf Sachverhalte zu beeinflussen. Die ersten zwei Szenarien sollten dazu dienen, aufzuzeigen, dass Menschen glauben viele Dinge zu wissen obwohl dies nicht immer der Fall ist. Das dritte Szenario hatte so wie die ersten beiden Szenarien keinen extra Absatz, in dem stand, dass was der Protagonist des Szenarios dachte, falsch war. Trotzdem fühlte man sich dazu verleitet zu glauben, dass auch in diesem Szenario der Protagonist irgendeinen Fehler gemacht bzw. eine falsche Annahme gemacht hatte. "
"199","s1764","eng","Trying to understand language I guess."
"200","s1765","eng","the ability to assess different situations."
"201","s1767","eng","to judge and adapt to situations quickly"
"202","s1775","ger","Situationen werden aus unterschiedlichen Sichtweisen betrachtet (manchmal ohne dass man alle Einzelheiten kennt) - ich glaube der Zweck der Studie ist es herauszufinden, was die Wahrheit für die einzelnen Personen ist. "
"203","s1784","ger","Ziel ist herauszufinden, wie genau der Text gelesen und verstanden wird"
"204","s1788","eng","f"
"205","s1790","eng","cool"
"206","s1791","eng","to asses simulations accurately."
"207","s1799","eng","To show how people react without really knowing sometimes"
"208","s1822","ger","Ich denke das Ziel ist herauszufinden, wie Menschen schlussfolgern und wie sie zu Entscheidungen kommen."
"209","s1853","eng","No idea."
"210","s1855","eng","No"
"211","s1871","ger","irgendwas mit wissensentstehung vielleicht?"
"212","s1889","eng","To figure out the ability of readers and comprehension"
"213","s1905","ger","Wissen und Philosophie?"
"214","s1906","ger","Text- bzw. Sprachverständnis"
"215","s1929","eng","I don't know."
"216","s1930","eng","To determine how people perceive a character's confidence in their observations according to language."
"217","s1931","eng","Understanding the perception of right and wrong. "
"218","s1932","eng","I am not sure."
"219","s1933","eng","Like I said I don't know. "
"220","s1940","eng","NO IDEA"
"221","s1942","eng","to gather information but I am not sure why"
"222","s1954","eng","To extend the statement that every person holds its own opinion. "
"223","s1959","eng","To demonstrate study habits,"
"224","s1961","eng","To see how thinking changes based on the language of each situation "
"225","s1972","eng","To see how objects are what they seem to be."
"226","s2033","ger","Wie die Angabe von Informationen Antworten beeinflussen."
"227","s2092","nor","Formålet var muligens å se på hva deltakerne opplever som sanne eller usanne utsagn ut fra hvordan scenarioene ble beskrevet. "
"228","s2103","eng","We hope that our results will contribute to the scientific knowledge of how language works."
"229","s2127","eng","To emphasize how everyone has their own perceptions and interpretation of language and stories."
"230","s2128","eng","To see how different people react to different situations"
"231","s2142","nor","Gjetter på at det har noe å gjøre med om språket referer til den faktiske virkeligheten, usikkerheten i virkeligheten, eller den subjektive opplevelsen. "
"232","s2145","nor","Å finne ut mer om spårkunnskaper"
"233","s2147","nor","Studere hvordan hjernen prosesserer semantisk ambiguous informasjon "
"234","s2150","nor","Formålet tror jeg er å se hvordan vi forholder oss til ting som er usikkert, og hvordan man formulerer seg rundt ting som man tror er ekte men egentlig ikke er det."
"235","s2151","nor","Jeg tror den dreide seg om å hvordan språk påvirker oppfatninger om hva man kan vite"
"236","s2154","nor","Forstå hvordan språk påvirker våre holdninger. Virker som sannhet og forståelsen av det er et tema."
"237","s2155","nor","Formålet med studien tror jeg er å se hvor stor forstålese studenter har i de gitte casene, og evnen til å tolke de gitte oppgavene. "
"238","s2156","nor","Hvilke utsagn deltagerne tror på. Om  man får sympati for den som tror feil, eller om man får sympati for den andre siden av saken. "
"239","s2157","nor","Gikk først ut ifra at studien skulle teste hvorsan vi tolker situasjoner som minner om hverandre med små variasjoner, men på grunn av den store mengden spørsmål om studien selv går jeg nå ut ifra at det er reaksjonen på utformingen på studien som ble testet. "
"240","s2158","nor","Få en bedre forståelse av hva språket har å si for oppfattelsen av en situasjon "
"241","s2161","nor","Jeg tror formålet handler om å se på hvordan språk man påvirke omgivelsene og situasjonene vi omgås"
"242","s2165","eng","Purpose of the study was to determine if the participant read and comprehended. "
"243","s2166","eng","I believe the purpose of this study had a lot to do with memory. Seeing whether we could remember well or not."
"244","s2167","eng","To try and understand how the wording of the story may effect the way we understand the information. But that is a random guess"
"245","s2168","eng","understanding reason"
"246","s2169","eng","How we process language and how our opinions can be changed based on reading"
"247","s2170","eng","peoples ability to reason "
"248","s2173","eng","To see how the use of language affected our opinions"
"249","s2176","eng","To see how people perceive things without knowing completely what they saw."
"250","s2178","eng","Why people think the way they do"
"251","s2179","eng","I think the purpose of this study was to define someone's perception of an object by either their ability/luck, and if they knew/believed the perceived object as correct/incorrect."
"252","s2180","eng","To analyze language "
"253","s2183","eng","To see if language can effect how we process direct information given/received"
"254","s2184","eng","I think a part of the study is about how people interpret language id different ways."
"255","s2185","eng","I understood somewhat of the questions after reading the short stories. However, don't understand the full purpose of this particular study. "
"256","s2186","eng","To see how well people retain information they just read."
"257","s2187","eng","To see the difference between actually knowing something and just thinking we know something. "
"258","s2188","eng","To understand reasoning behind what people think is under others control, whether it is luck or ability. "
"259","s2189","eng","I think the purpose of this study is to give people tricky analogies and see if they have what it takes to think hard about the answer."
"260","s2190","eng","To see how the wording and background knowledge of a question affects a persons response. "
"261","s2191","eng","I have read about relatively similar studies done on young children that attempted to measure theory of mind."
"262","s2192","eng","i think the purpose of this study is to figure out if i understand the reasoning behind why people think the way they do whether is it reasonable or unreasonable."
"263","s2193","eng","I think the purpose of this study is to figure out how people view scenarios in which the people are not fully aware of all the factors."
"264","s2194","eng","I think the purpose of this study was to see if we blamed ourselves or others for our successes and failures."
"265","s2195","eng","understanding people resolution"
"266","s2196","eng","some sort of correlation of luck and ability to know things?"
"267","s2242","eng","Not sue"
"268","s2246","nor","Jeg tror at formålet med studien er å undersøke hvordan mennesker forstår persepsjon og hvordan man forstår forskjellen på beliefs og kunnskap. Eventuelt er det kanskje en studie om theory of mind. "
"269","s2249","nor","Noe om oppfattelse av sikker kunnskap (vet) og overbevisning (tror man vet), og oppfattelse av de to når man som leser vet svaret"
"270","s2253","nor","For å se om jeg husket detaljene i historien"
"271","s2255","nor","Sammenhengen mellom agent-situasjon attribution ut fra hvorvidt man har fått riktig svar, og om dette har en kulturell faktor."
"272","s2267","nor","Forske på personer sine ulike tolkinger av tekst "
"273","s2268","nor","Vår evne til å tenke kritisk på ting vi vanligvis tar for gitt? Eller antar stemmer, basert på at det vanligvis er slik. At noe som ser ut som et hus langs en vei ikke er et hus, er jo for eksempel rimelig absurd. 
Evt bare en metastudie av forskningsstudier, slik som kanskje disse spørsmålene tyder på.. "
"274","s2269","nor","Kartlegge hvordan folk tolker tekster"
"275","s2275","nor","Det kan virke som om man vil utforske hva folk legger i begrepet ""å vite noe"" (når kan man vite noe med sikkerhet. Dette er jo også et begrep med lang filosofisk diskusjon rundt seg :)"
"276","s2291","zho","h"
"277","s2296","nor","Jeg tror formålet er å undersøke folk sitt syn på hvorvidt man kan si at ""slik ser jeg det og derfor er det slik"" selv om vi ikke har all informasjon, og i hvilken grad man syns konklusjonene vil være korrekte eller ei om man tar hensyn til mengden informasjon"
"278","s2301","nor","Jeg tenkte at studien dreide seg om å undersøke hvorvidt man tviler på fakta og opplysninger, og hvor mye man tenker at det er rimelig å anta og ikke. Jeg ble riktig nok i tvil da dere begynte å spørre på denne måten."
"279","s2310","nor","Se hvordan man ordlegger seg påvirker deltagerens svar"
"280","s2311","nor","Jeg vil anta nyanser i språk. Som forskjellen på å tro og vite. Persepsjon. "
"281","s2312","nor","Å se om deltakere svarer forskjellig når de tror de vet formålet med studien. Trodde underveis at studien handlet om noe rundt tilfeldigheter og om det man tror er sant eller bare tilfeldigvis det vi tror."
"282","s2323","nor","Hvilken betydning vi tillegger forskjellige ord/formuleringer/Hvordan vi tolker informasjon. For eksempel kan man si at virkeligheten kan sies å være objektiv og subjektiv - vi oppfatter/sanser det rundt oss og skaper så vår egen subjektive virkelighet på grunnlag av dette. "
"283","s2325","nor","noko med språk å gjør. hvor mye man følger med når man leser, eller hvordan man bruker ord for å gi en tekst mer mening"
"284","s2327","eng","To evaluate comprehension skills & remembering the information we were given"
"285","s2330","nor","Undersøke hvordan mennesker oppfatter faktakunnskap "
"286","s2334","nor","Å undersøke hvordan vi oppfatter hva som er sant/usant på bakgrunn av språk."
"287","s2368","nor","Studere hvordan vi vurderer overbevisninger."
"288","s2369","nor","For å forstå i hvilken grad folk bedømmer sann kunnskap. Når det alltid er mulighet for at den informasjonen man oppfatter er feil, hva kan man da egentlig si om kunnskap. Det ville vært urealistisk av Emma å forvente at diamantene var falske når det ikke egentlig var noen god informasjon som pekte andre veien. "
"289","s2370","nor","Overordnet tror jeg studien tar utgangspunkt i (eksperimentell) filosofi, hvor formålet her er å undersøke folks oppfatninger om når man har justified true beliefs."
"290","s2377","nor","Språkegenskaper?"
"291","s2379","eng","The purpose of the study is to see how one evaluates others based on the availability of information."
"292","s2380","eng","I believe the purpose of this study is to gauge how people respond to data and how having excess background knowledge effects our analysis of situations "
"293","s2381","eng","To see people's different perspectives on scenarios. "
"294","s2393","nor","innenfor kognitiv psykologi, muligens for å forstå hvordan vi tror vi vet noe, hvordan vi intuitivt ikke tar hemsyn til ulike variabler."
"295","s2394","eng","I am unsure what this study was trying to achieve"
"296","s2396","nor","Jeg vil tro formålet med denne studien er å kartlegge menneskers evne til å innhente informasjon fra ulike situasjoner, og se om leseren klarer å observere og tolke det de leser."
"297","s2398","nor","vet ikke "
"298","s2404","nor","Ordvalg påvirker oppfattelse av historiene og våres perspektiv."
"299","s2406","nor","Typ theory of mind, kanskje"
"300","s2412","nor","Kartlegge menneskers intuitive oppfatning av kunnskap."
"301","s2415","nor","Å forstå hvordan språk fungerer - det var det jeg fikk opplysning om. "
"302","s2416","eng","The purpose of this study was to see the difference between how people view knowledge, and what they believe to be true, even though it might actually not be true. This can vary based on a person's general knowledge of the topic of just plain luck. "
"303","s2448","nor","Jeg tror formålet med denne studien er hvordan ulike mennesker tolker tekster ulikt. "
"304","s2466","eng","to see how closely we pay attention "
"305","s2467","eng","To determine how participants detect language and end results. "
"306","s2468","eng","to see how closely people pay attention to detail"
"307","s2469","eng","I believe the purpose of this study is to determine the difference between what people believe to be true and what is in fact true."
"308","s2470","eng","i think the purpose was to see if people would essentially think the person in the story should have know what was the right answer, because we as the participants did or if they would expect the person to get it wrong."
"309","s2472","eng","I believe the purpose was to identify how we receive the information around us "
"310","s2476","eng","To observe language"
"311","s2479","eng","I think the purpose of this study was to show that when reading something you can easily form an opinion or idea without the story actually telling you straight up. I also believe that it was to show that people can read the same story and have different opinions about the situation. "
"312","s2480","eng","one's ability to see a situation in several ways "
"313","s2547","nor","Jeg tror formålet handler om å bedre forstå relasjonen mellom ord og opplevde gjenstander og konsepter. -Hvordan mennesker i det daglige tar beslutninger om å si noe eller å handle basert på noe som er opplevd, men ikke helt vites. "
"314","s2565","eng","To see how somebody evaluates the choices of others and analyzes the thoughts of others."
"315","s2568","eng","To see how people pay attention. "
"316","s2604","fre","cds"
"317","s2605","eng","I think the purpose of this study was to see how different people perceive other's choices. "
"318","s2608","eng","I believe that the purpose of this study was to discover how people think about certain situations. Language may affect how their viewpoint may come across."
"319","s2611","eng","to see if people could follow stories that could be misleading or confusing"
"320","s2612","eng","To see what people can make themselves believe and ultimately think it is fact without fully knowing what it is."
"321","s2614","eng","How wording affects perception of situation."
"322","s2615","eng","I think that the purpose of the study is to see how people interpret and view scenarios differently. "
"323","s2616","eng","see how we interpreted the story through how it was written"
"324","s2617","eng","to understand reasoning"
"325","s2618","eng","to observe peoples ability to judge someone with inside knowledge"
"326","s2619","eng","I think the purpose of this study was to test your thinking skills."
"327","s2620","eng","i think the purpose of this study to analyze ones mind and how they interpret senarios "
"328","s2621","eng","To see if the mind can comprehend reading?"
"329","s2623","eng","to determine perception differences "
"330","s2624","eng","I think it was about certain wording and how each scenario was different."
"331","s2626","eng","to see people might think vs whats real"
"332","s2627","eng","The sheet mentioned something about language, but I didn't necessarily notice research about language. It was more based on fact or assumption. I feel the study was about how many things humans think they ""know"" when in reality, they only think they know, or they are making an unknown assumption."
"333","s2628","eng","To figure out the persons thinking"
"334","s2629","eng","I think the purpose of this study was to see if someone's opinions changed from story to story, even though they were all very similar."
"335","s2631","eng","I think the purpose of this study is to see how people think and how given scenarios may contribute to opinion "
"336","s2632","eng","I don't know the purpose of this study."
"337","s2633","eng","To undertsand reasoning behind an answer or thought process"
"338","s2635","eng","I think the purpose of this study is to decide whether an opinion is based on luck or on fact and knowledge."
"339","s2637","eng","To see how people view deception and knowledge."
"340","s2638","eng","To analyze interpretations of situations"
"341","s2639","eng","pay attention to detail?"
"342","s2642","eng","im not sure "
"343","s2643","eng","Figuring out how language works in daily life."
"344","s2646","eng","I think the purpose of this study is all about perception."
"345","s2648","eng","Assess the varying perceptions a group may have on the same given information"
"346","s2649","eng","To see if people believe in luck or take accountability for their knowledge"
"347","s2650","eng","to see if the participant can identify what a person thinks about certainty and facts"
"348","s2651","eng","to read the questions carefully and give good and honest feedback."
"349","s2652","eng","I am not sure but feel it is used to study word associations to feelings that one may get from a reading."
"350","s2653","eng","Examine how we understand language. "
"351","s2654","eng","Whether specific wording and situation impact reading comprehension"
"352","s2656","eng","to understand the way we think about the observations"
"353","s2657","eng","test knowledge just read about"
"354","s2658","eng","To find out how well people pay attention to details "
