"","luck_vas_combined","vignette","id","person_code","comp","age","gender2","education","cond","luck_vas_combined_source"
"588","Luck","Gerald","q_turk_R_1GNVXYm1aFUSLEY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Gettier","VAS"
"589","Luck","Emma","q_turk_R_1gO1YjCdNVhlpus","adaccbbc254a881db6c19b3224887bcc","Yes",39,"female",15,"Gettier","VAS"
"590","Luck","Gerald","q_turk_R_1gO1YjCdNVhlpus","adaccbbc254a881db6c19b3224887bcc","Yes",39,"female",15,"Ignorance","VAS"
"591","Ability","Darrel","q_turk_R_1gO1YjCdNVhlpus","adaccbbc254a881db6c19b3224887bcc","Yes",39,"female",15,"Knowledge","VAS"
"595","Luck","Gerald","q_turk_R_1H7Zumc0LCoKNhZ","adaccbbc254a881db6c19b3224887bcc","Yes",23,"female",15,"Ignorance","VAS"
"596","Luck","Emma","q_turk_R_1H7Zumc0LCoKNhZ","adaccbbc254a881db6c19b3224887bcc","Yes",23,"female",15,"Gettier","VAS"
"597","Ability","Darrel","q_turk_R_1H7Zumc0LCoKNhZ","adaccbbc254a881db6c19b3224887bcc","Yes",23,"female",15,"Knowledge","VAS"
"598","Ability","Emma","q_turk_R_1hGVMSfMAFBGJzF","adaccbbc254a881db6c19b3224887bcc","Yes",53,"male",17,"Ignorance","VAS"
"599","Luck","Gerald","q_turk_R_1hGVMSfMAFBGJzF","adaccbbc254a881db6c19b3224887bcc","Yes",53,"male",17,"Knowledge","VAS"
"600","Luck","Darrel","q_turk_R_1hGVMSfMAFBGJzF","adaccbbc254a881db6c19b3224887bcc","Yes",53,"male",17,"Gettier","VAS"
"604","Luck","Gerald","q_turk_R_1HntWrfWmlgD8rD","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Knowledge","VAS"
"605","Ability","Emma","q_turk_R_1HntWrfWmlgD8rD","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Ignorance","VAS"
"606","Luck","Darrel","q_turk_R_1HntWrfWmlgD8rD","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Gettier","VAS"
"619","Ability","Gerald","q_turk_R_1iqBSc7aC7dHDPx","adaccbbc254a881db6c19b3224887bcc","Yes",69,"female",14,"Gettier","VAS"
"620","Ability","Emma","q_turk_R_1iqBSc7aC7dHDPx","adaccbbc254a881db6c19b3224887bcc","Yes",69,"female",14,"Knowledge","VAS"
"621","Luck","Darrel","q_turk_R_1iqBSc7aC7dHDPx","adaccbbc254a881db6c19b3224887bcc","Yes",69,"female",14,"Ignorance","VAS"
"622","Ability","Darrel","q_turk_R_1j7DOc122tkIcr7","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",12,"Gettier","VAS"
"624","Ability","Gerald","q_turk_R_1j7DOc122tkIcr7","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",12,"Ignorance","VAS"
"626","Luck","Emma","q_turk_R_1j8M7Hw4lOnA2mM","adaccbbc254a881db6c19b3224887bcc","Yes",26,"female",15,"Gettier","VAS"
"627","Luck","Gerald","q_turk_R_1j8M7Hw4lOnA2mM","adaccbbc254a881db6c19b3224887bcc","Yes",26,"female",15,"Knowledge","VAS"
"628","Luck","Darrel","q_turk_R_1JD9HEDcNUeSzd4","adaccbbc254a881db6c19b3224887bcc","Yes",46,"male",14,"Ignorance","VAS"
"629","Ability","Emma","q_turk_R_1JD9HEDcNUeSzd4","adaccbbc254a881db6c19b3224887bcc","Yes",46,"male",14,"Knowledge","VAS"
"630","Luck","Gerald","q_turk_R_1JD9HEDcNUeSzd4","adaccbbc254a881db6c19b3224887bcc","Yes",46,"male",14,"Gettier","VAS"
"631","Luck","Darrel","q_turk_R_1jlfCFLTfZFufy3","adaccbbc254a881db6c19b3224887bcc","Yes",22,"male",12,"Knowledge","VAS"
"632","Ability","Emma","q_turk_R_1jlfCFLTfZFufy3","adaccbbc254a881db6c19b3224887bcc","Yes",22,"male",12,"Ignorance","VAS"
"633","Luck","Gerald","q_turk_R_1jlfCFLTfZFufy3","adaccbbc254a881db6c19b3224887bcc","Yes",22,"male",12,"Gettier","VAS"
"637","Luck","Gerald","q_turk_R_1JWwJIyCHV8SGrG","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",14,"Gettier","VAS"
"638","Luck","Darrel","q_turk_R_1JWwJIyCHV8SGrG","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",14,"Knowledge","VAS"
"639","Ability","Emma","q_turk_R_1JWwJIyCHV8SGrG","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",14,"Ignorance","VAS"
"640","Luck","Emma","q_turk_R_1kMTo69lokcyu5z","adaccbbc254a881db6c19b3224887bcc","Yes",68,"female",12,"Knowledge","VAS"
"641","Luck","Gerald","q_turk_R_1kMTo69lokcyu5z","adaccbbc254a881db6c19b3224887bcc","Yes",68,"female",12,"Gettier","VAS"
"642","Ability","Darrel","q_turk_R_1kMTo69lokcyu5z","adaccbbc254a881db6c19b3224887bcc","Yes",68,"female",12,"Ignorance","VAS"
"644","Luck","Darrel","q_turk_R_1KN4WW9BSoaQWHv","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",14,"Ignorance","VAS"
"645","Luck","Gerald","q_turk_R_1KN4WW9BSoaQWHv","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",14,"Gettier","VAS"
"646","Luck","Darrel","q_turk_R_1kSnGWkmJhFnEgX","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Knowledge","VAS"
"647","Luck","Gerald","q_turk_R_1kSnGWkmJhFnEgX","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Ignorance","VAS"
"648","Luck","Emma","q_turk_R_1kSnGWkmJhFnEgX","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Gettier","VAS"
"655","Luck","Emma","q_turk_R_1kXEj05sqUlqKC1","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Gettier","VAS"
"657","Ability","Darrel","q_turk_R_1kXEj05sqUlqKC1","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Ignorance","VAS"
"658","Luck","Emma","q_turk_R_1l61LOAC4kh8eUM","adaccbbc254a881db6c19b3224887bcc","Yes",49,"male",15,"Knowledge","VAS"
"659","Luck","Gerald","q_turk_R_1l61LOAC4kh8eUM","adaccbbc254a881db6c19b3224887bcc","Yes",49,"male",15,"Ignorance","VAS"
"661","Ability","Darrel","q_turk_R_1LAlKGr5eDvIshH","adaccbbc254a881db6c19b3224887bcc","Yes",44,"male",14,"Ignorance","VAS"
"662","Luck","Emma","q_turk_R_1LAlKGr5eDvIshH","adaccbbc254a881db6c19b3224887bcc","Yes",44,"male",14,"Gettier","VAS"
"663","Luck","Gerald","q_turk_R_1LAlKGr5eDvIshH","adaccbbc254a881db6c19b3224887bcc","Yes",44,"male",14,"Knowledge","VAS"
"664","Luck","Emma","q_turk_R_1Ld3qz2KR68xeVE","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",15,"Knowledge","VAS"
"665","Luck","Gerald","q_turk_R_1Ld3qz2KR68xeVE","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",15,"Ignorance","VAS"
"666","Luck","Darrel","q_turk_R_1Ld3qz2KR68xeVE","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",15,"Gettier","VAS"
"667","Luck","Gerald","q_turk_R_1LdLqRFEVCmnDvq","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",17,"Ignorance","VAS"
"668","Ability","Darrel","q_turk_R_1LdLqRFEVCmnDvq","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",17,"Knowledge","VAS"
"669","Luck","Emma","q_turk_R_1LdLqRFEVCmnDvq","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",17,"Gettier","VAS"
"670","Luck","Gerald","q_turk_R_1LFmlYxhe8Wezue","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Ignorance","VAS"
"671","Ability","Darrel","q_turk_R_1LFmlYxhe8Wezue","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Knowledge","VAS"
"672","Luck","Emma","q_turk_R_1LFmlYxhe8Wezue","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Gettier","VAS"
"674","Ability","Gerald","q_turk_R_1LhPgyG4d657VYi","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Knowledge","VAS"
"675","Ability","Darrel","q_turk_R_1LhPgyG4d657VYi","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Gettier","VAS"
"676","Luck","Emma","q_turk_R_1lhtLBLBn2qLqTb","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",14,"Ignorance","VAS"
"677","Ability","Darrel","q_turk_R_1lhtLBLBn2qLqTb","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",14,"Knowledge","VAS"
"678","Luck","Gerald","q_turk_R_1lhtLBLBn2qLqTb","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",14,"Gettier","VAS"
"682","Luck","Emma","q_turk_R_1loi0pUpW1qxsTm","adaccbbc254a881db6c19b3224887bcc","Yes",34,"male",15,"Knowledge","VAS"
"683","Luck","Darrel","q_turk_R_1loi0pUpW1qxsTm","adaccbbc254a881db6c19b3224887bcc","Yes",34,"male",15,"Gettier","VAS"
"684","Luck","Gerald","q_turk_R_1loi0pUpW1qxsTm","adaccbbc254a881db6c19b3224887bcc","Yes",34,"male",15,"Ignorance","VAS"
"685","Luck","Emma","q_turk_R_1LOuwc7jG9OKsMr","adaccbbc254a881db6c19b3224887bcc","Yes",35,"male",17,"Knowledge","VAS"
"686","Luck","Darrel","q_turk_R_1LOuwc7jG9OKsMr","adaccbbc254a881db6c19b3224887bcc","Yes",35,"male",17,"Gettier","VAS"
"688","Ability","Gerald","q_turk_R_1mFbroWJTTA5lPW","adaccbbc254a881db6c19b3224887bcc","Yes",32,"male",15,"Knowledge","VAS"
"690","Ability","Darrel","q_turk_R_1mFbroWJTTA5lPW","adaccbbc254a881db6c19b3224887bcc","Yes",32,"male",15,"Gettier","VAS"
"694","Luck","Gerald","q_turk_R_1ML0uznt5LuJZxD","adaccbbc254a881db6c19b3224887bcc","Yes",34,"male",15,"Ignorance","VAS"
"695","Luck","Emma","q_turk_R_1ML0uznt5LuJZxD","adaccbbc254a881db6c19b3224887bcc","Yes",34,"male",15,"Knowledge","VAS"
"696","Luck","Darrel","q_turk_R_1ML0uznt5LuJZxD","adaccbbc254a881db6c19b3224887bcc","Yes",34,"male",15,"Gettier","VAS"
"700","Luck","Gerald","q_turk_R_1myeQpsKntC8cTH","adaccbbc254a881db6c19b3224887bcc","Yes",32,"male",15,"Ignorance","VAS"
"701","Ability","Darrel","q_turk_R_1myeQpsKntC8cTH","adaccbbc254a881db6c19b3224887bcc","Yes",32,"male",15,"Knowledge","VAS"
"702","Luck","Emma","q_turk_R_1myeQpsKntC8cTH","adaccbbc254a881db6c19b3224887bcc","Yes",32,"male",15,"Gettier","VAS"
