"","know_vas_combined","vignette","id","person_code","comp","age","gender2","education","cond","vignette_order","cond_order"
"327","Believes","Darrel","q_87d100_R_3mmH474L1C8XoG3","47cce7454402254dd1e56c7338d2ca3b","Yes",29,"female",12,"Gettier","EGD","IKG"
"334","Believes","Gerald","q_87d100_R_3oC2JV5pnbMgLJA","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Knowledge","GDE","KIG"
"335","Believes","Darrel","q_87d100_R_3oC2JV5pnbMgLJA","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Ignorance","GDE","KIG"
"336","Knows","Emma","q_87d100_R_3oC2JV5pnbMgLJA","47cce7454402254dd1e56c7338d2ca3b","Yes",20,"female",14,"Gettier","GDE","KIG"
"412","Believes","Darrel","q_87d100_R_sNfTopzAr9tyTOp","47cce7454402254dd1e56c7338d2ca3b","Yes",22,"female",12,"Ignorance","GDE","GIK"
"413","Believes","Emma","q_87d100_R_sNfTopzAr9tyTOp","47cce7454402254dd1e56c7338d2ca3b","Yes",22,"female",12,"Knowledge","GDE","GIK"
"414","Believes","Gerald","q_87d100_R_sNfTopzAr9tyTOp","47cce7454402254dd1e56c7338d2ca3b","Yes",22,"female",12,"Gettier","GDE","GIK"
"448","Knows","Gerald","q_turk_R_0328HYH57wKMSJj","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",15,"Ignorance","GED","IKG"
"449","Knows","Darrel","q_turk_R_0328HYH57wKMSJj","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",15,"Gettier","GED","IKG"
"450","Knows","Emma","q_turk_R_0328HYH57wKMSJj","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",15,"Knowledge","GED","IKG"
"463","Knows","Emma","q_turk_R_0pj9X2ajFesKSKB","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Ignorance","DGE","GKI"
"464","Knows","Darrel","q_turk_R_0pj9X2ajFesKSKB","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Gettier","DGE","GKI"
"465","Knows","Gerald","q_turk_R_0pj9X2ajFesKSKB","adaccbbc254a881db6c19b3224887bcc","Yes",30,"female",15,"Knowledge","DGE","GKI"
"466","Believes","Emma","q_turk_R_10Db8Itv7DSFTG1","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Knowledge","EGD","KIG"
"467","Believes","Darrel","q_turk_R_10Db8Itv7DSFTG1","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Gettier","EGD","KIG"
"468","Believes","Gerald","q_turk_R_10Db8Itv7DSFTG1","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Ignorance","EGD","KIG"
"469","Believes","Emma","q_turk_R_10GVY80fen5wtun","adaccbbc254a881db6c19b3224887bcc","Yes",25,"female",15,"Knowledge","DEG","GKI"
"470","Knows","Darrel","q_turk_R_10GVY80fen5wtun","adaccbbc254a881db6c19b3224887bcc","Yes",25,"female",15,"Gettier","DEG","GKI"
"471","Believes","Gerald","q_turk_R_10GVY80fen5wtun","adaccbbc254a881db6c19b3224887bcc","Yes",25,"female",15,"Ignorance","DEG","GKI"
"472","Believes","Gerald","q_turk_R_10obyJCkcHa0EPm","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Gettier","DGE","KGI"
"473","Knows","Darrel","q_turk_R_10obyJCkcHa0EPm","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Knowledge","DGE","KGI"
"474","Believes","Emma","q_turk_R_10obyJCkcHa0EPm","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Ignorance","DGE","KGI"
"478","Believes","Emma","q_turk_R_11ZRvjXHeBjRvQy","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Ignorance","EGD","IGK"
"479","Knows","Gerald","q_turk_R_11ZRvjXHeBjRvQy","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Gettier","EGD","IGK"
"480","Believes","Darrel","q_turk_R_11ZRvjXHeBjRvQy","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Knowledge","EGD","IGK"
"484","Believes","Darrel","q_turk_R_12G8F9zUQxyiI32","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Gettier","EGD","IKG"
"486","Believes","Emma","q_turk_R_12G8F9zUQxyiI32","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Ignorance","EGD","IKG"
"487","Knows","Darrel","q_turk_R_12GblEGnvQEf7XG","adaccbbc254a881db6c19b3224887bcc","Yes",54,"female",14,"Knowledge","GED","GIK"
"488","Believes","Emma","q_turk_R_12GblEGnvQEf7XG","adaccbbc254a881db6c19b3224887bcc","Yes",54,"female",14,"Ignorance","GED","GIK"
"489","Knows","Gerald","q_turk_R_12GblEGnvQEf7XG","adaccbbc254a881db6c19b3224887bcc","Yes",54,"female",14,"Gettier","GED","GIK"
"490","Believes","Emma","q_turk_R_1C2UOLc3g2zAAR5","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Ignorance","DGE","GKI"
"491","Believes","Darrel","q_turk_R_1C2UOLc3g2zAAR5","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Gettier","DGE","GKI"
"492","Knows","Gerald","q_turk_R_1C2UOLc3g2zAAR5","adaccbbc254a881db6c19b3224887bcc","Yes",37,"male",15,"Knowledge","DGE","GKI"
"493","Knows","Darrel","q_turk_R_1CCLgbEW8FQgZr0","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",17,"Gettier","EDG","IGK"
"494","Believes","Emma","q_turk_R_1CCLgbEW8FQgZr0","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",17,"Ignorance","EDG","IGK"
"495","Believes","Gerald","q_turk_R_1CCLgbEW8FQgZr0","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",17,"Knowledge","EDG","IGK"
"502","Believes","Emma","q_turk_R_1ClTERpRi5gzz1c","adaccbbc254a881db6c19b3224887bcc","Yes",41,"female",14,"Gettier","EDG","GKI"
"503","Believes","Gerald","q_turk_R_1ClTERpRi5gzz1c","adaccbbc254a881db6c19b3224887bcc","Yes",41,"female",14,"Ignorance","EDG","GKI"
"504","Knows","Darrel","q_turk_R_1ClTERpRi5gzz1c","adaccbbc254a881db6c19b3224887bcc","Yes",41,"female",14,"Knowledge","EDG","GKI"
"511","Believes","Darrel","q_turk_R_1DASPXf9anuudK9","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",18,"Gettier","EGD","KIG"
"512","Knows","Emma","q_turk_R_1DASPXf9anuudK9","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",18,"Knowledge","EGD","KIG"
"514","Believes","Darrel","q_turk_R_1dFhSa6aWEXPUxA","adaccbbc254a881db6c19b3224887bcc","Yes",61,"male",15,"Ignorance","GED","GKI"
"515","Believes","Emma","q_turk_R_1dFhSa6aWEXPUxA","adaccbbc254a881db6c19b3224887bcc","Yes",61,"male",15,"Knowledge","GED","GKI"
"516","Believes","Gerald","q_turk_R_1dFhSa6aWEXPUxA","adaccbbc254a881db6c19b3224887bcc","Yes",61,"male",15,"Gettier","GED","GKI"
"520","Believes","Emma","q_turk_R_1DosZRbS5q7ck9c","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Knowledge","DGE","IGK"
"521","Knows","Gerald","q_turk_R_1DosZRbS5q7ck9c","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Gettier","DGE","IGK"
"522","Believes","Darrel","q_turk_R_1DosZRbS5q7ck9c","adaccbbc254a881db6c19b3224887bcc","Yes",24,"female",15,"Ignorance","DGE","IGK"
"523","Believes","Gerald","q_turk_R_1DSUYgA2crznnRm","adaccbbc254a881db6c19b3224887bcc","Yes",56,"female",12,"Ignorance","GDE","IKG"
"524","Knows","Darrel","q_turk_R_1DSUYgA2crznnRm","adaccbbc254a881db6c19b3224887bcc","Yes",56,"female",12,"Knowledge","GDE","IKG"
"526","Knows","Darrel","q_turk_R_1DurNdyS40bjn1X","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",14,"Knowledge","EGD","IGK"
"527","Believes","Emma","q_turk_R_1DurNdyS40bjn1X","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",14,"Ignorance","EGD","IGK"
"528","Knows","Gerald","q_turk_R_1DurNdyS40bjn1X","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",14,"Gettier","EGD","IGK"
"529","Believes","Gerald","q_turk_R_1dzzLIR0j0Vh7e0","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",10,"Knowledge","GDE","KIG"
"530","Believes","Darrel","q_turk_R_1dzzLIR0j0Vh7e0","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",10,"Ignorance","GDE","KIG"
"531","Believes","Emma","q_turk_R_1dzzLIR0j0Vh7e0","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",10,"Gettier","GDE","KIG"
"538","Knows","Gerald","q_turk_R_1eP0G7l94JqxCxW","adaccbbc254a881db6c19b3224887bcc","Yes",47,"male",12,"Gettier","DGE","IGK"
"539","Believes","Darrel","q_turk_R_1eP0G7l94JqxCxW","adaccbbc254a881db6c19b3224887bcc","Yes",47,"male",12,"Ignorance","DGE","IGK"
"540","Knows","Emma","q_turk_R_1eP0G7l94JqxCxW","adaccbbc254a881db6c19b3224887bcc","Yes",47,"male",12,"Knowledge","DGE","IGK"
"541","Knows","Darrel","q_turk_R_1eraYLCSOvI9a0N","adaccbbc254a881db6c19b3224887bcc","Yes",66,"female",14,"Gettier","DGE","GIK"
"542","Believes","Gerald","q_turk_R_1eraYLCSOvI9a0N","adaccbbc254a881db6c19b3224887bcc","Yes",66,"female",14,"Ignorance","DGE","GIK"
"543","Believes","Emma","q_turk_R_1eraYLCSOvI9a0N","adaccbbc254a881db6c19b3224887bcc","Yes",66,"female",14,"Knowledge","DGE","GIK"
"544","Knows","Gerald","q_turk_R_1eXG6UuI5D86k25","adaccbbc254a881db6c19b3224887bcc","Yes",27,"female",15,"Knowledge","EGD","GKI"
"545","Believes","Emma","q_turk_R_1eXG6UuI5D86k25","adaccbbc254a881db6c19b3224887bcc","Yes",27,"female",15,"Gettier","EGD","GKI"
"546","Knows","Darrel","q_turk_R_1eXG6UuI5D86k25","adaccbbc254a881db6c19b3224887bcc","Yes",27,"female",15,"Ignorance","EGD","GKI"
"547","Knows","Darrel","q_turk_R_1EZjs5tS3VwDsLC","adaccbbc254a881db6c19b3224887bcc","Yes",33,"female",15,"Gettier","EDG","KGI"
"548","Believes","Gerald","q_turk_R_1EZjs5tS3VwDsLC","adaccbbc254a881db6c19b3224887bcc","Yes",33,"female",15,"Ignorance","EDG","KGI"
"549","Believes","Emma","q_turk_R_1EZjs5tS3VwDsLC","adaccbbc254a881db6c19b3224887bcc","Yes",33,"female",15,"Knowledge","EDG","KGI"
"550","Believes","Emma","q_turk_R_1F95GDS9xOz3od8","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",15,"Ignorance","EDG","IKG"
"551","Knows","Darrel","q_turk_R_1F95GDS9xOz3od8","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",15,"Knowledge","EDG","IKG"
"552","Knows","Gerald","q_turk_R_1F95GDS9xOz3od8","adaccbbc254a881db6c19b3224887bcc","Yes",38,"male",15,"Gettier","EDG","IKG"
"556","Knows","Darrel","q_turk_R_1FfzSXTCo6bM1X5","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Knowledge","GED","GIK"
"557","Knows","Gerald","q_turk_R_1FfzSXTCo6bM1X5","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Gettier","GED","GIK"
"558","Believes","Emma","q_turk_R_1FfzSXTCo6bM1X5","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Ignorance","GED","GIK"
"559","Knows","Darrel","q_turk_R_1fiJpUymCcyNQ5d","adaccbbc254a881db6c19b3224887bcc","Yes",48,"female",18,"Gettier","GED","KIG"
"560","Knows","Gerald","q_turk_R_1fiJpUymCcyNQ5d","adaccbbc254a881db6c19b3224887bcc","Yes",48,"female",18,"Knowledge","GED","KIG"
"561","Believes","Emma","q_turk_R_1fiJpUymCcyNQ5d","adaccbbc254a881db6c19b3224887bcc","Yes",48,"female",18,"Ignorance","GED","KIG"
"565","Believes","Gerald","q_turk_R_1g771yEu6Vct9gk","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",12,"Ignorance","DEG","GKI"
"566","Believes","Emma","q_turk_R_1g771yEu6Vct9gk","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",12,"Knowledge","DEG","GKI"
"567","Knows","Darrel","q_turk_R_1g771yEu6Vct9gk","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",12,"Gettier","DEG","GKI"
"571","Knows","Darrel","q_turk_R_1geHuTxOfperhHY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",14,"Gettier","GDE","IGK"
"572","Knows","Emma","q_turk_R_1geHuTxOfperhHY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",14,"Knowledge","GDE","IGK"
"573","Knows","Gerald","q_turk_R_1geHuTxOfperhHY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",14,"Ignorance","GDE","IGK"
"577","Knows","Gerald","q_turk_R_1ghXkXxoHZyoXms","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",15,"Ignorance","DGE","KIG"
"578","Knows","Darrel","q_turk_R_1ghXkXxoHZyoXms","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",15,"Knowledge","DGE","KIG"
"579","Believes","Emma","q_turk_R_1ghXkXxoHZyoXms","adaccbbc254a881db6c19b3224887bcc","Yes",39,"male",15,"Gettier","DGE","KIG"
"580","Believes","Emma","q_turk_R_1gI5nNz0IBlgcsU","adaccbbc254a881db6c19b3224887bcc","Yes",51,"male",15,"Ignorance","GED","GIK"
"581","Knows","Darrel","q_turk_R_1gI5nNz0IBlgcsU","adaccbbc254a881db6c19b3224887bcc","Yes",51,"male",15,"Knowledge","GED","GIK"
"582","Believes","Gerald","q_turk_R_1gI5nNz0IBlgcsU","adaccbbc254a881db6c19b3224887bcc","Yes",51,"male",15,"Gettier","GED","GIK"
"583","Believes","Gerald","q_turk_R_1gis1JlrcLlbmoJ","adaccbbc254a881db6c19b3224887bcc","Yes",26,"male",15,"Ignorance","EDG","GKI"
"584","Knows","Darrel","q_turk_R_1gis1JlrcLlbmoJ","adaccbbc254a881db6c19b3224887bcc","Yes",26,"male",15,"Knowledge","EDG","GKI"
"585","Believes","Emma","q_turk_R_1gis1JlrcLlbmoJ","adaccbbc254a881db6c19b3224887bcc","Yes",26,"male",15,"Gettier","EDG","GKI"
"586","Knows","Darrel","q_turk_R_1GNVXYm1aFUSLEY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Knowledge","DGE","KGI"
"587","Knows","Emma","q_turk_R_1GNVXYm1aFUSLEY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Ignorance","DGE","KGI"
"588","Knows","Gerald","q_turk_R_1GNVXYm1aFUSLEY","adaccbbc254a881db6c19b3224887bcc","Yes",31,"male",15,"Gettier","DGE","KGI"
"589","Knows","Emma","q_turk_R_1gO1YjCdNVhlpus","adaccbbc254a881db6c19b3224887bcc","Yes",39,"female",15,"Gettier","DGE","KIG"
"590","Believes","Gerald","q_turk_R_1gO1YjCdNVhlpus","adaccbbc254a881db6c19b3224887bcc","Yes",39,"female",15,"Ignorance","DGE","KIG"
"591","Knows","Darrel","q_turk_R_1gO1YjCdNVhlpus","adaccbbc254a881db6c19b3224887bcc","Yes",39,"female",15,"Knowledge","DGE","KIG"
"592","Knows","Emma","q_turk_R_1H5LbrcQyeTbxSh","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Knowledge","DGE","IGK"
"593","Knows","Gerald","q_turk_R_1H5LbrcQyeTbxSh","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Gettier","DGE","IGK"
"594","Believes","Darrel","q_turk_R_1H5LbrcQyeTbxSh","adaccbbc254a881db6c19b3224887bcc","Yes",25,"male",15,"Ignorance","DGE","IGK"
"595","Believes","Gerald","q_turk_R_1H7Zumc0LCoKNhZ","adaccbbc254a881db6c19b3224887bcc","Yes",23,"female",15,"Ignorance","GED","IGK"
"596","Believes","Emma","q_turk_R_1H7Zumc0LCoKNhZ","adaccbbc254a881db6c19b3224887bcc","Yes",23,"female",15,"Gettier","GED","IGK"
"597","Knows","Darrel","q_turk_R_1H7Zumc0LCoKNhZ","adaccbbc254a881db6c19b3224887bcc","Yes",23,"female",15,"Knowledge","GED","IGK"
"598","Believes","Emma","q_turk_R_1hGVMSfMAFBGJzF","adaccbbc254a881db6c19b3224887bcc","Yes",53,"male",17,"Ignorance","DEG","GIK"
"599","Knows","Gerald","q_turk_R_1hGVMSfMAFBGJzF","adaccbbc254a881db6c19b3224887bcc","Yes",53,"male",17,"Knowledge","DEG","GIK"
"600","Believes","Darrel","q_turk_R_1hGVMSfMAFBGJzF","adaccbbc254a881db6c19b3224887bcc","Yes",53,"male",17,"Gettier","DEG","GIK"
"604","Believes","Gerald","q_turk_R_1HntWrfWmlgD8rD","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Knowledge","DGE","GKI"
"605","Believes","Emma","q_turk_R_1HntWrfWmlgD8rD","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Ignorance","DGE","GKI"
"606","Believes","Darrel","q_turk_R_1HntWrfWmlgD8rD","adaccbbc254a881db6c19b3224887bcc","Yes",60,"male",15,"Gettier","DGE","GKI"
"607","Believes","Darrel","q_turk_R_1HpeKZYuDbDD5OB","adaccbbc254a881db6c19b3224887bcc","Yes",50,"male",15,"Ignorance","DGE","IGK"
"608","Believes","Gerald","q_turk_R_1HpeKZYuDbDD5OB","adaccbbc254a881db6c19b3224887bcc","Yes",50,"male",15,"Gettier","DGE","IGK"
"609","Believes","Emma","q_turk_R_1HpeKZYuDbDD5OB","adaccbbc254a881db6c19b3224887bcc","Yes",50,"male",15,"Knowledge","DGE","IGK"
"619","Knows","Gerald","q_turk_R_1iqBSc7aC7dHDPx","adaccbbc254a881db6c19b3224887bcc","Yes",69,"female",14,"Gettier","EDG","KIG"
"620","Knows","Emma","q_turk_R_1iqBSc7aC7dHDPx","adaccbbc254a881db6c19b3224887bcc","Yes",69,"female",14,"Knowledge","EDG","KIG"
"621","Believes","Darrel","q_turk_R_1iqBSc7aC7dHDPx","adaccbbc254a881db6c19b3224887bcc","Yes",69,"female",14,"Ignorance","EDG","KIG"
"623","Believes","Emma","q_turk_R_1j7DOc122tkIcr7","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",12,"Knowledge","EGD","KIG"
"624","Knows","Gerald","q_turk_R_1j7DOc122tkIcr7","adaccbbc254a881db6c19b3224887bcc","Yes",38,"female",12,"Ignorance","EGD","KIG"
"625","Knows","Darrel","q_turk_R_1j8M7Hw4lOnA2mM","adaccbbc254a881db6c19b3224887bcc","Yes",26,"female",15,"Ignorance","GDE","KIG"
"626","Knows","Emma","q_turk_R_1j8M7Hw4lOnA2mM","adaccbbc254a881db6c19b3224887bcc","Yes",26,"female",15,"Gettier","GDE","KIG"
"627","Knows","Gerald","q_turk_R_1j8M7Hw4lOnA2mM","adaccbbc254a881db6c19b3224887bcc","Yes",26,"female",15,"Knowledge","GDE","KIG"
"628","Believes","Darrel","q_turk_R_1JD9HEDcNUeSzd4","adaccbbc254a881db6c19b3224887bcc","Yes",46,"male",14,"Ignorance","EGD","KGI"
"629","Knows","Emma","q_turk_R_1JD9HEDcNUeSzd4","adaccbbc254a881db6c19b3224887bcc","Yes",46,"male",14,"Knowledge","EGD","KGI"
"631","Knows","Darrel","q_turk_R_1jlfCFLTfZFufy3","adaccbbc254a881db6c19b3224887bcc","Yes",22,"male",12,"Knowledge","DEG","KIG"
"632","Believes","Emma","q_turk_R_1jlfCFLTfZFufy3","adaccbbc254a881db6c19b3224887bcc","Yes",22,"male",12,"Ignorance","DEG","KIG"
"633","Knows","Gerald","q_turk_R_1jlfCFLTfZFufy3","adaccbbc254a881db6c19b3224887bcc","Yes",22,"male",12,"Gettier","DEG","KIG"
"637","Knows","Gerald","q_turk_R_1JWwJIyCHV8SGrG","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",14,"Gettier","DEG","KIG"
"638","Knows","Darrel","q_turk_R_1JWwJIyCHV8SGrG","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",14,"Knowledge","DEG","KIG"
"639","Believes","Emma","q_turk_R_1JWwJIyCHV8SGrG","adaccbbc254a881db6c19b3224887bcc","Yes",44,"female",14,"Ignorance","DEG","KIG"
"640","Knows","Emma","q_turk_R_1kMTo69lokcyu5z","adaccbbc254a881db6c19b3224887bcc","Yes",68,"female",12,"Knowledge","DEG","IKG"
"641","Knows","Gerald","q_turk_R_1kMTo69lokcyu5z","adaccbbc254a881db6c19b3224887bcc","Yes",68,"female",12,"Gettier","DEG","IKG"
"642","Believes","Darrel","q_turk_R_1kMTo69lokcyu5z","adaccbbc254a881db6c19b3224887bcc","Yes",68,"female",12,"Ignorance","DEG","IKG"
"643","Believes","Emma","q_turk_R_1KN4WW9BSoaQWHv","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",14,"Knowledge","DGE","IGK"
"644","Believes","Darrel","q_turk_R_1KN4WW9BSoaQWHv","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",14,"Ignorance","DGE","IGK"
"645","Believes","Gerald","q_turk_R_1KN4WW9BSoaQWHv","adaccbbc254a881db6c19b3224887bcc","Yes",29,"male",14,"Gettier","DGE","IGK"
"646","Knows","Darrel","q_turk_R_1kSnGWkmJhFnEgX","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Knowledge","EGD","GIK"
"647","Believes","Gerald","q_turk_R_1kSnGWkmJhFnEgX","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Ignorance","EGD","GIK"
"648","Believes","Emma","q_turk_R_1kSnGWkmJhFnEgX","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Gettier","EGD","GIK"
"655","Believes","Emma","q_turk_R_1kXEj05sqUlqKC1","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Gettier","EDG","GIK"
"656","Believes","Gerald","q_turk_R_1kXEj05sqUlqKC1","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Knowledge","EDG","GIK"
"657","Believes","Darrel","q_turk_R_1kXEj05sqUlqKC1","adaccbbc254a881db6c19b3224887bcc","Yes",36,"male",14,"Ignorance","EDG","GIK"
"658","Knows","Emma","q_turk_R_1l61LOAC4kh8eUM","adaccbbc254a881db6c19b3224887bcc","Yes",49,"male",15,"Knowledge","DEG","GKI"
"659","Believes","Gerald","q_turk_R_1l61LOAC4kh8eUM","adaccbbc254a881db6c19b3224887bcc","Yes",49,"male",15,"Ignorance","DEG","GKI"
"660","Knows","Darrel","q_turk_R_1l61LOAC4kh8eUM","adaccbbc254a881db6c19b3224887bcc","Yes",49,"male",15,"Gettier","DEG","GKI"
"661","Believes","Darrel","q_turk_R_1LAlKGr5eDvIshH","adaccbbc254a881db6c19b3224887bcc","Yes",44,"male",14,"Ignorance","EGD","GKI"
"663","Knows","Gerald","q_turk_R_1LAlKGr5eDvIshH","adaccbbc254a881db6c19b3224887bcc","Yes",44,"male",14,"Knowledge","EGD","GKI"
