"id","survey_lang","previous","1","2","3","score_1","score_2","score_3","count","sum","exclude","nonsense","coder"
"s4206","zho","<U+6C92><U+6709><U+3002>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4247","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4263","zho","<U+4E4B><U+524D><U+6709><U+53C3><U+8207><U+904E><U+5176><U+4ED6><U+5FC3><U+7406><U+5B78><U+7814><U+7A76>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4283","zho","<U+6709>,<U+6709><U+8DA3>","yes","no",NA,"2","0",NA,2,2,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4323","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4325","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4393","zho","<U+8A72><U+7814><U+7A76><U+7D66><U+53D7><U+8A66><U+8005><U+95B1><U+8B80><U+5831><U+5C0E><U+5F8C>,<U+8A62><U+554F><U+6709><U+95DC><U+5831><U+5C0E><U+7684><U+554F><U+984C>,<U+554F><U+984C><U+8A31><U+591A><U+76F8><U+4F3C><U+4F46><U+4E0D><U+5B8C><U+5168><U+76F8><U+540C>","maybe","no",NA,"1","0",NA,2,1,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4394","zho","no","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4395","zho","<U+6709> <U+662F><U+4E00><U+500B><U+85C9><U+7531><U+624B><U+4E0A><U+8CA0><U+91CD><U+91CD><U+91CF><U+4F86><U+5BE6><U+9A57><U+91CD><U+91CF><U+5C0D><U+4EBA><U+7684><U+4FE1><U+5FC3><U+7684><U+5F71><U+97FF>","maybe","no",NA,"1","0",NA,2,1,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4477","zho","<U+6C92><U+6709><U+5594>!","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4513","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4564","zho","<U+6C92><U+6709>,<U+6240><U+4EE5><U+89BA><U+5F97><U+633A><U+9177><U+7684>XD","na","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4679","zho","TEST delete data","test","test",NA,"2","2",NA,2,4,TRUE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4798","zho","<U+7121><U+3002>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4808","zho","<U+7121><U+3002><U+53C3><U+8207><U+904E><U+4E00><U+4E9B><U+5FC3><U+7406><U+5B78><U+7814><U+7A76>,<U+4F46><U+770B><U+5B8C><U+4E00><U+6BB5><U+6545><U+4E8B><U+5F8C><U+56DE><U+7B54><U+554F><U+984C><U+5012><U+662F><U+7B2C><U+4E00><U+6B21><U+3002>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4811","zho","<U+597D><U+50CF><U+6709>,<U+4F46><U+6C92><U+6709><U+5370><U+8C61><U+6E2C><U+9A57><U+5167><U+5BB9>","na","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4896","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s4961","zho","<U+6709>,<U+70BA><U+5927><U+773E><U+5C0D><U+7AF6><U+9078><U+6D77><U+5831><U+4E4B><U+7814><U+7A76>","maybe","no",NA,"1","0",NA,2,1,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s5211","zho","No","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s5562","zho","<U+6709><U+3002><U+807D><U+5E7E><U+5247><U+6545><U+4E8B>,<U+56DE><U+7B54><U+8173><U+8272><U+5728><U+904E><U+7A0B><U+4E2D><U+7684><U+60F3><U+6CD5><U+3002>","yes","no",NA,"2","0",NA,2,2,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s5643","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s5760","zho","<U+7121><U+3002>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s5930","zho","<U+6C92><U+5370><U+8C61>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s6094","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s6157","zho","TEST","test","test",NA,"2","2",NA,2,4,TRUE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s6280","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s6361","zho","<U+5FC3><U+7406><U+7CFB><U+7684><U+4E00><U+4E9B><U+554F><U+5377>,<U+8DDF><U+60C5><U+7DD2><U+5B57><U+8A5E><U+6709><U+95DC><U+7684><U+7814><U+7A76> <U+6216><U+8005><U+662F><U+6D88><U+8CBB><U+7522><U+54C1><U+7684><U+554F><U+5377>,<U+4E00><U+6A23><U+6703><U+51FA><U+73FE><U+908F><U+8F2F><U+984C><U+4F86><U+8A62><U+554F>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s6700","zho","<U+7559><U+767D>","na","na",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s6732","zho","<U+6C92><U+6709><U+985E><U+4F3C><U+7684><U+7D93><U+9A57><U+3002>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s6742","zho","No","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s6800","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s7533","zho","TEST SOPHIA","test","test",NA,"2","2",NA,2,4,TRUE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
"s7742","zho","<U+6C92><U+6709>","no","no",NA,"0","0",NA,2,0,FALSE,FALSE,"_OEQ_JL_ZHO FINISHED.xlsx, _OEQ_WC_ZHO FINISHED.xlsx"
