"purpose","id","survey_lang"
"Real vs. Fake
Purpose is to identify whether people are concerned if things are real or not and what impact the outcome may play. Obviously, in the diamond story, Emma will get ripped off financially if she purchases a fake diamond. A real consequence. But does it really matter if the house is fake or not? Only to the people who were living in the real houses, not in the context of this story. It also matters, from a research point of view whether the animal seen was a squirrel or not. Another real consequence.","q_fg64rd_R_22G14yDL5Jhib8o","eng"
"I am not really sure but it was interesting!","q_fg64rd_R_22zPL7s6JobJ4JV","eng"
"To see if we are bias towards different situations.","q_fg64rd_R_24BIKlL78tD4YD0","eng"
"To test how well English speakers can interpret information and understand questions. Also how different levels of English speakers (how well they speak English) vary in their results","q_fg64rd_R_26eYwsd5R0dQqkj","eng"
"Peoples belief in what they know/or have be persuaded to know is correct","q_fg64rd_R_29abzO1B8GVJhrK","eng"
"abstract thought, i think there was some stories that had tricky language in it and others didn't, but testing the human brain to see if it fabricates some different scenario or meaning","q_fg64rd_R_2altbwW5wQfRcKa","eng"
"To identify an outsiders thoughts and perspective on another's thought process within an unknown questionable situation.","q_fg64rd_R_2BnzTf5dHcYcnjg","eng"
"Language /interpretation  of the article - understanding perception and how language can influence how we think","q_fg64rd_R_2D85knaL94gf588","eng"
"I think the purpose of this study was to determine the readers understanding of the language, and to understand the readers interpretation of the language used.","q_fg64rd_R_2DS5GzKCVr6qKO8","eng"
"Seems to try to identify how people engage with truth within themselves and what is really occurring in the outside world. The extent that truth/fact is in the eye of the perceiver vs what is actually occurring","q_fg64rd_R_2eV7LH5UKKpejOk","eng"
"Perception?  This is a guess.","q_fg64rd_R_2fqjT5AnxnAxjyv","eng"
"how different people perceive different the same things being represented to them.","q_fg64rd_R_2pPMhvPiiyWuTuP","eng"
"Understand the reaction certain wording has on your trust of an indivduals beliefs","q_fg64rd_R_2pSrvDM5oWLOSwZ","eng"
"Perhaps, to investigate the correlation between perception and knowledge of reality - though the project title would be misleading, if that indeed was the purpose.","q_fg64rd_R_2QYyDYoEwMG3XLQ","eng"
"Something to do with certainties or just how to make a person doubt everything.","q_fg64rd_R_2tD21q3YXYmqbHY","eng"
"Perception and judgement as well as social expectation perhaps","q_fg64rd_R_2TTXWSjcYFY2rEw","eng"
"comprehension and ditraction","q_fg64rd_R_2uVBbQWKnWbhD2F","eng"
"The purpose of this study may be to determine nuances of similar meanings in different circumstances and whether differing levels of education may indicate how correctly people are able to determine the correct interpretation of the stories. It may also indicate whether different cultures have differing understandings of the stories.","q_fg64rd_R_2v08njoeS9B38su","eng"
"too see if we attribute failure or success to internal or external reasons","q_fg64rd_R_2XgtrnsqdFHNh6P","eng"
"Memory and recall","q_fg64rd_R_2Y9vGxZqRttVKVu","eng"
"observations, the way in which we perceive our surroundings, the participants belief in luck or chance","q_fg64rd_R_2zSED27Wg2cv61r","eng"
"To see different between perception and reality, also reasonability in deducing conclusions from perception, assessing language understanding","q_fg64rd_R_2zwhCr14S03Vzls","eng"
"I think it had something to do with perceptions, and how with less information we can be more confident in our beliefs.","q_fg64rd_R_31slQjdAeByNYwI","eng"
"To assess language comprehension.","q_fg64rd_R_3CPYpIzrTufuP93","eng"
"People's perception/certainty in knowing things in the absolute.","q_fg64rd_R_3Ge8CjPMbkPSEHv","eng"
"Establish difference between peoples ideas of belief and fact","q_fg64rd_R_3Hjn1SGRPP51tQ3","eng"
"Well, I think it was about the english language that how well you get the right meaning.","q_fg64rd_R_3hlHlMWjDyHLe7h","eng"
"Our perception about information we receive and its ability of affecting our decisions.","q_fg64rd_R_3hrtX7MPynSR6dt","eng"
"To understand how language shapes understanding","q_fg64rd_R_3m9K6OoLMmXgUGT","eng"
"The study may have been about reading comprehension and inferred meaning within text.","q_fg64rd_R_3MDKW8W8f0bje4X","eng"
"To assess effective communication. How messages are perceived according to the language used.","q_fg64rd_R_3NwjBicX4khjhUt","eng"
"to define the ability to to judge between what is or can be deemed real.","q_fg64rd_R_3P6o5vsBCnEz6Ko","eng"
"I think the study was about how subjective language influences intuition, cognition and logic.","q_fg64rd_R_3PGqzgeHnTilXXt","eng"
"My guess is it has something to do with perception vs reality.","q_fg64rd_R_3RlIgAMSRmwpbYy","eng"
"Perception, based on a small scenario the researcher would like to know how i perceive the limited information provided.","q_fg64rd_R_8A3kVaJ5VxG6jFD","eng"
"To test if context will change a third party's view of the difference between luck and skill.
To determine how a third party viewer may assess the subjective views of another's reality.","q_fg64rd_R_8HaJyk2u2ZGvTgJ","eng"
"How words and language can effect a persons perspective on something.","q_fg64rd_R_BVBtnjFhhG1Hwjv","eng"
"To see how the language used can manipulate the way information is processed.","q_fg64rd_R_C4f9iIOAxlETpnj","eng"
"Perhaps to explore the relationship between perception and knowledge (both objective and subjective)","q_fg64rd_R_DB28MmvdE6FQCtz","eng"
"how language is used to make inferences","q_fg64rd_R_O99xYCbpH72Di7L","eng"
"Discerning our perception of truth","q_fg64rd_R_OcVmhHYPAmLuVAl","eng"
"The purpose is to try the survey software.","q_fg64rd_R_p0lK1VIUWpNLcyd","eng"
"Purpose - support people with learning difficulties to develop conceptual comprehension","q_fg64rd_R_R3726BRzIJ9LLbj","eng"
"I think the purpose of this study was to find out how peoples mind work when they read a small report on something and try to work out where there brain goes when answering the question.","q_fg64rd_R_Ry562RClf0as2ml","eng"
"People perception and interpretation of the stories and characters experiences","q_fg64rd_R_T6FcyiTV7VLitep","eng"
"I think it was to see how opinions influence how we interpret what is said. For example, using only the information in the story, the girl has to know she has a diamond. However, it would be easy to have an opinion that she couldn't be 100% sure if you let your opinions cloud the certainty of the words used in the story.","q_fg64rd_R_ulFURtiRi4RYcOR","eng"
"How to interpret a short story and what you might think that the characters are feeling and thinking","q_fg64rd_R_UMI84dq6cyWoFOh","eng"
"I believe that the purpose of this study was guided towards how people interpret language, especially people of whom English is not their first language. Advertisement and everyday signage/reading material are critical for being able to connect to everyone and for everyone to understand regardless of their language ability.","q_fg64rd_R_viRFZtqFK2IdaBX","eng"
"To explore how language and sentence formation affects how a person considers a question and answers it. By creating clear, definitive statements, people may seem more likely to select answers on either end of the spectrum rather than being in the middle.","q_fg64rd_R_vVSmnsIyU8eMBPz","eng"
"Identifying the definition we give to words","q_fg64rd_R_xaxsLhwxIBPYSuB","eng"
"To try and understand people's concepts of perception and reality","q_fg64rd_R_XsTI282wVCxb7l7","eng"
"To know the difference in knowing something through ability or by luck, or to highlight that we take a lot of knowledge that we think we know by granted without actually knowing anything or the skill it requires to find out","q_fg64rd_R_YYV53jOiFTi3yiB","eng"
